Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1930,259,,,,6684000,,,,
1940,200,,,,6705000,,,,
1950,326,,,,6935000,,,,
1960,632,,,,7094000,,,,
1965,2016,,,,7285000,,,,
1967,2349,,,,7374000,,,,
1970,2691,,,,7489000,,,,
1971,2624,,,,7525000,,,,
1972,2675,,11,11,7526000,0,4,1,0
1977,2705,,,,7576000,,,,
1979,3010,,,,7557000,,,,
1981,2793,,,,7544000,,,,
1983,2847,,,,7545000,,,,
1985,3100,,,,7560000,,,,
1987,3100,7,11,18,7585000,1,0,2,0
1989,3500,7,12,19,7633000,1,0,2,0
1991,3900,7,12,19,7720000,1,0,2,0
1993,3900,7,13,20,7840000,1,0,1,0
1995,4000,6,17,23,7936000,1,1,1,0
1997,3800,12,11,23,7972000,2,0,2,0
1999,3889,12,10,22,7985000,2,0,1,0
2000,3917,12,10,22,8005000,2,0,1,0
2001,3919,13,9,22,8038000,2,0,1,0
2002,3996,13,7,20,8083000,2,0,0,0
2003,4038,13,7,20,8134000,2,0,0,0
2004,4097,13,6,19,8186000,2,0,0,0
2005,4138,13,5,18,8232000,2,0,0,0
2006,4157,13,5,18,8273000,2,0,0,0
2007,4176,13,5,18,8310000,2,0,0,0
2008,4215,10,7,17,8342000,2,0,0,0
2009,4203,12,5,17,8372000,2,0,0,0
2010,4294,12,5,17,8402000,2,0,0,0
2011,4334,13,4,17,8423560,2,0,0,0
2012,4385,13,4,17,8455480,2,0,0,0
2013,4469,13,4,17,8486960,2,0,0,0
2014,4607,13,4,17,8516920,2,0,0,0
2015,4641,13,4,17,8544590,2,0,0,0
2016,4618,14,3,17,8711770,2,0,0,0
2017,4664,14,3,17,8754413,2,0,0,0
2018,4702,14,3,17,8793370,2,0,0,0
2019,4693,14,3,17,8826410,2,0,0,0
2020,,14,3,17,,2,0,0,0
2021,,14,3,17,,2,0,0,0
