Year,Membership,Wards,Branches,Units,Population
1930,339,,,,8092004
1940,264,,,,8301000
1950,459,,,,8639000
1960,540,,,,9518000
1963,1000,,,,9655000
1965,2628,,,,9770000
1967,2554,,,,9878000
1970,2667,,,,10004000
1971,2733,,,,10035000
1973,3500,0,13,13,10082000
1975,3330,,,,10147000
1977,3485,,,,10187000
1979,4347,,,,10208000
1981,4014,,,,10211000
1983,3842,,,,10202000
1987,4000,5,18,23,10242000
1989,4400,6,17,23,10299000
1991,5300,6,17,23,10362000
1993,5600,8,18,26,10428000
1995,6000,9,19,28,10487000
1997,5700,10,18,28,10533000
1999,5771,11,18,29,10579000
2000,5784,11,15,26,10268000
2001,5866,11,12,23,10301000
2002,5979,11,12,23,10339000
2003,6030,11,11,22,10385000
2004,6112,11,11,22,10441000
2005,6267,11,11,22,10508000
2006,6363,11,9,20,10588000
2007,6029,10,10,20,10678000
2008,6043,10,8,18,10773000
2009,5980,9,8,17,10862000
2010,6019,9,8,17,10941000
2011,6100,9,8,17,11007000
2012,6186,10,7,17,11060000
2013,6415,10,7,17,11153120
2014,6694,9,8,17,11226320
2015,6756,9,8,17,11299190
2016,6742,10,6,16,11409077
2017,6556,10,1,11,11491346
2018,6585,10,2,12,11570762
2019,6605,10,2,12,11645739
2020,,10,2,12,
2021,,10,2,12,
