Year,Membership,Wards,Branches,Units,Population
1991,200,0,1,1,1424000
1993,300,0,3,3,1506000
1995,300,0,3,3,1586000
1997,500,1,2,3,1661000
1999,700,2,1,3,1728000
2000,800,2,1,3,1758000
2001,890,2,1,3,1784000
2002,1001,2,1,3,1809000
2003,1110,2,1,3,1833000
2004,1194,2,1,3,1855000
2005,1270,2,2,4,1876000
2006,1292,2,2,4,1896000
2007,1302,2,2,4,1915000
2008,1305,2,2,4,1934000
2009,983,2,2,4,1952000
2010,1331,2,2,4,1969000
2011,1693,3,5,8,1987000
2012,2152,6,2,8,2004000
2013,3021,6,2,8,2021000
2014,3104,6,6,12,2039000
2015,3167,6,6,12,2182719
2016,3235,6,7,13,2209208
2017,3376,7,7,14,2214858
2018,3524,8,7,15,2249104
2019,3653,9,6,15,2283169
