Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1940,233,,,,41236315,,,,
1943,360,,,,44448740,,,,
1950,648,,,,51944397,,,,
1957,1000,,,,68074919,,,,
1960,2644,,,,74988000,,,,
1962,6747,,,,77280000,,,,
1965,19050,,,,84379000,,,,
1967,23295,,,,89052000,,,,
1970,33104,,,,96060000,,,,
1971,35768,,,,98428000,,,,
1975,45747,,,,108224000,,,,
1977,51080,,,,113442000,,,,
1979,71510,,,,118896000,,,,
1981,101584,,,,124588000,,,,
1983,128148,,,,130459000,,,,
1985,206000,,,,136247000,,,,
1987,249000,331,186,517,141791000,57,16,9,1
1989,302000,338,229,567,147089000,56,25,10,1
1991,400000,377,355,732,152147000,64,35,15,1
1993,474000,639,474,1113,156986000,104,39,19,1
1995,548000,801,593,1394,161848000,136,45,23,2
1997,640000,1144,585,1729,166869000,173,44,23,4
1999,743182,1264,615,1879,171936000,186,42,26,4
2000,775822,1227,536,1763,174425000,186,41,26,4
2001,808940,1176,513,1689,176877000,183,43,26,4
2002,842296,1170,499,1669,179289000,184,44,26,5
2003,866988,1187,481,1668,181633000,184,46,26,5
2004,897091,1212,492,1704,183873000,187,52,26,5
2005,928926,1247,487,1734,185987000,193,54,26,5
2006,970903,1277,479,1756,187958000,204,52,27,5
2007,1019153,1329,467,1796,189798000,218,50,27,6
2008,1060556,1361,488,1849,191543000,223,52,27,6
2009,1102674,1393,492,1885,193247000,230,51,27,7
2010,1138740,1457,468,1925,194946000,239,49,27,7
2011,1173533,1473,467,1940,196655000,242,49,27,7
2012,1209974,1504,437,1941,198361000,246,42,27,7
2013,1250073,1537,435,1972,200050000,249,41,34,8
2014,1289376,1569,427,1996,202034000,253,39,34,8
2015,1326738,1593,445,2038,204259812,256,39,34,8
2016,1354127,1617,438,2055,205823665,265,40,34,9
2017,1383799,1651,438,2089,207353391,268,40,34,10
2018,1394616,1692,419,2111,208846892,273,38,35,11
2019,1429935,1747,395,2142,210281433,277,39,35,11
2020,,1764,402,2166,,279,39,36,7
2021,1456238,1774,401,2175,,281,40,36,7
