Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1949,160,,,,14900,,,,
1960,200,,,,18000,,,,
1965,682,,,,19000,,,,
1967,759,,,,20000,,,,
1970,913,,,,21000,,,,
1971,1000,,,,22000,,,,
1977,626,,,,19000,,,,
1979,718,0,10,10,18000,0,1,0,0
1983,551,0,,,18000,,,,
1987,700,0,7,7,18000,0,1,0,0
1989,700,0,6,6,18000,0,1,0,0
1991,800,0,6,6,18000,0,1,0,0
1993,800,0,6,6,18000,0,1,0,0
1995,900,0,7,7,18000,0,1,0,0
1997,900,0,7,7,18000,0,1,0,0
1999,880,0,6,6,18000,0,1,0,0
2000,1343,0,6,6,18000,0,1,0,0
2001,1236,0,6,6,18000,0,1,0,0
2002,1369,0,5,5,18000,0,1,0,0
2003,1351,0,5,5,19000,0,1,0,0
2004,1779,0,5,5,19000,0,1,0,0
2005,1807,0,5,5,19710,0,1,0,0
2006,1814,0,5,5,19696,0,1,0,0
2007,1803,0,5,5,19511,0,1,0,0
2008,1834,0,5,5,19212,0,1,0,0
2009,1847,0,5,5,18868,0,1,0,0
2010,1853,0,5,5,18545,0,1,0,0
2011,1867,0,5,5,18257,0,1,0,0
2012,1862,0,5,5,18258,0,1,0,0
2013,1844,0,5,5,18259,0,1,0,0
2014,1849,0,5,5,18260,0,1,0,0
2015,1835,0,5,5,18261,0,1,0,0
2016,1843,0,5,5,18262,0,1,0,0
2017,1843,0,5,5,18263,0,1,0,0
2018,1854,0,5,5,18264,0,1,0,0
2019,1865,0,5,5,18265,0,1,0,0
2020,,0,5,5,,,,,
2021,,0,5,5,,,,,
