Year,Membership,Wards,Branches,Units,Population
1991,12000,19,30,49,199000
1993,13000,25,31,56,207000
1995,14000,28,34,62,216000
1997,15000,43,26,69,225000
1999,16230,45,28,73,234000
2000,16616,46,29,75,238000
2001,20039,48,30,78,241000
2002,20383,48,30,78,245000
2003,20824,49,30,79,248000
2004,21116,49,30,79,252000
2005,21567,49,31,80,255000
2006,21567,49,31,80,258000
2007,19711,51,31,82,260000
2008,20282,51,31,82,263000
2009,20805,51,31,82,265000
2010,21245,53,29,82,268000
2011,21884,53,29,82,271000
2012,22659,54,29,83,274000
2013,23594,56,29,85,277000
2014,24755,60,28,88,280000
2015,25841,62,28,90,282703
2016,26828,65,28,93,285321
2017,27521,68,28,96,287881
2018,28147,71,23,94,290373
2019,28704,73,23,96,292747
