Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1980,,0,1,1,5692000,0,0,,0
1983,475,,,,6101000,,,,
1985,1500,,,,6389000,,,,
1987,2200,0,15,15,6677000,0,1,1,0
1989,4200,0,18,18,6965000,0,1,1,0
1991,4700,0,18,18,7255000,0,2,1,0
1993,5000,0,18,18,7545000,0,2,1,0
1995,5100,0,18,18,7838000,0,2,1,0
1997,5800,7,9,16,8136000,1,0,1,0
1999,8157,7,12,19,8433000,1,0,1,0
2000,9266,7,13,20,8578000,1,1,1,0
2001,10157,9,14,23,8720000,1,2,1,0
2002,11329,12,13,25,8860000,1,2,1,0
2003,12184,11,15,26,8996000,2,2,1,0
2004,12842,12,14,26,9130000,2,2,1,0
2005,13321,12,14,26,9261000,2,2,1,0
2006,13604,13,13,26,9389000,2,2,1,0
2007,14493,14,15,29,9514000,2,2,1,0
2008,15489,15,15,30,9638000,2,2,1,0
2009,16322,15,16,31,9765000,2,2,1,0
2010,16902,16,16,32,9896000,2,2,1,0
2011,17407,16,21,37,10033000,2,2,1,0
2012,18165,22,20,42,10288830,4,3,1,0
2013,19216,22,21,43,10431250,4,3,1,0
2014,20414,23,21,44,10572030,4,3,1,0
2015,21414,23,21,44,10711070,4,3,1,1
2016,22323,24,22,46,10485800,4,3,1,1
2017,23046,24,22,46,10646714,4,3,1,1
2018,23723,26,20,46,10788440,5,4,1,1
2019,,27,21,48,,5,4,1,1
2020,,27,21,48,,5,4,1,1
2021,24911,27,21,48,,5,4,1,1
