Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1989,200,0,3,3,12101000,0,0,0,0
1991,900,0,7,7,12946000,0,1,0,0
1993,1500,0,12,12,13820000,0,2,1,0
1995,2800,0,14,14,14677000,0,2,1,0
1997,3800,11,3,14,15492000,1,0,1,0
1999,5402,11,3,14,16243000,1,0,1,0
2000,6178,13,4,17,16582000,2,0,1,0
2001,6893,13,5,18,16893000,2,0,1,0
2002,7840,16,8,24,17181000,2,0,1,0
2003,8456,18,8,26,17456000,2,0,1,0
2004,9345,19,8,27,17732000,2,0,1,0
2005,10199,20,4,24,18021000,2,0,1,0
2006,11341,22,6,28,18326000,3,0,1,0
2007,12463,23,6,29,18647000,3,0,1,0
2008,13245,23,5,28,18987000,3,0,1,0
2009,14417,28,6,34,19350000,3,1,1,0
2010,15638,30,10,40,19738000,4,1,1,0
2011,16248,30,12,42,20153000,4,1,1,0
2012,18602,35,18,53,20595000,5,1,1,0
2013,22576,47,25,72,20316000,5,1,1,0
2014,27052,59,35,94,20805000,7,3,2,0
2015,32258,81,49,130,23295302,9,5,2,1
2016,39589,97,85,182,23740424,11,11,2,1
2017,43895,112,98,210,24184810,14,12,2,1
2018,48776,120,111,231,26260582,14,12,3,1
2019,52241,127,123,250,26870834,14,17,3,1
2020,,133,122,255,,,,,
2021,,133,124,257,,,,,
