Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1991,99,0,1,1,11898000,0,0,0,0
1993,100,0,1,1,12644000,0,0,0,0
1995,400,0,2,2,13453000,0,0,0,0
1997,700,0,4,4,14329000,0,1,0,0
1999,1349,0,6,6,15263000,0,1,1,0
2000,1810,6,2,8,15745000,1,0,1,0
2001,2428,6,1,7,16236000,1,0,1,0
2002,2634,6,1,7,16736000,1,0,1,0
2003,2833,6,1,7,17245000,1,0,1,0
2004,3088,6,7,13,17763000,1,0,1,0
2005,3372,6,10,16,18290000,1,0,1,0
2006,3683,6,9,15,18826000,1,0,1,0
2007,4160,6,9,15,19371000,1,0,1,0
2008,4769,8,9,17,19927000,1,0,1,0
2009,5516,12,12,24,20496000,1,0,1,0
2010,6736,12,16,28,21080000,1,2,1,0
2011,8017,12,21,33,21679000,2,2,1,0
2012,9190,13,24,37,22294000,2,2,1,0
2013,9826,14,24,38,22925000,2,2,1,0
2014,10322,14,24,38,23572000,2,2,1,0
2015,10859,14,25,39,23812681,2,2,1,0
2016,11340,14,25,39,24430325,2,2,1,0
2017,11881,14,26,40,25054161,2,2,1,0
2018,12257,14,26,40,25683610,2,3,1,0
2019,12887,16,26,42,26319674,2,3,1,0
2020,,17,25,42,,2,3,1,0
2021,12887,17,25,42,,2,3,1,0
