Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1977,66,,,,12892000,,,,
1979,60,,,,13504000,,,,
1981,116,,,,14180000,,,,
1983,181,,,,14927000,0,1,0,0
1985,290,,,,15764000,0,1,0,0
1987,300,0,3,3,16704000,0,1,0,0
1989,300,0,3,3,17707000,0,1,0,0
1991,500,0,5,5,18710000,0,1,0,0
1993,600,0,4,4,19701000,0,1,0,0
1995,700,0,7,7,20725000,0,1,0,0
1997,800,0,9,9,21806000,0,2,0,0
1999,1141,0,12,12,22896000,0,2,0,0
2000,1309,0,15,15,23421000,0,2,0,0
2001,1618,0,15,15,23926000,0,2,0,0
2002,1922,0,17,17,24414000,0,2,0,0
2003,2237,0,18,18,24891000,0,4,0,0
2004,2456,0,18,18,25365000,0,4,0,0
2005,2917,0,17,17,25843000,0,4,0,0
2006,3633,0,17,17,26327000,0,4,0,0
2007,4626,0,19,19,26814000,0,4,0,0
2008,5646,0,19,19,27302000,0,4,0,0
2009,6404,0,23,23,27790000,0,5,0,0
2010,7314,0,28,28,28276000,0,6,0,0
2011,7926,0,31,31,28759000,0,8,0,0
2012,8967,0,33,33,29240000,0,8,0,0
2013,9259,0,33,33,29717000,0,8,0,0
2014,9476,0,34,34,30188000,0,8,0,0
2015,9725,0,34,34,30513848,0,6,0,0
2016,10010,0,33,33,30949962,0,6,0,0
2017,10224,0,32,32,31381992,0,6,0,0
2018,10504,0,33,33,31809660,0,6,0,0
2019,10845,0,31,31,32230872,0,6,0,0
2020,,0,28,28,,0,5,0,0
2021,10719,0,27,27,,0,5,0,0
