Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1993,100,0,1,1,2263000,0,0,0,0
1995,400,0,3,3,2298000,0,0,1,0
1997,1100,0,4,4,2336000,0,1,1,0
1999,1850,0,9,9,2376000,0,1,1,0
2000,2672,0,17,17,2397000,0,2,1,0
2001,3521,0,20,20,2420000,0,2,1,0
2002,4358,0,21,21,2443000,0,2,1,0
2003,5455,0,22,22,2469000,0,2,1,0
2004,6346,0,20,20,2496000,0,2,1,0
2005,6735,0,20,20,2527000,0,2,1,0
2006,7306,0,20,20,2559000,0,2,1,0
2007,7721,0,21,21,2595000,0,2,1,0
2008,8444,0,21,21,2633000,0,2,1,0
2009,9239,6,16,22,2672000,1,2,1,0
2010,9896,6,17,23,2713000,1,2,1,0
2011,10217,6,17,23,2754000,1,2,1,0
2012,10591,6,17,23,2796000,1,2,1,0
2013,10763,6,17,23,2839000,1,2,1,0
2014,11028,5,18,23,2881000,1,2,1,0
2015,11250,5,18,23,2992908,1,2,1,0
2016,11436,12,13,25,3031330,2,1,1,0
2017,11641,12,13,25,3068243,2,1,1,0
2018,11895,12,12,24,3103428,2,1,1,0
2019,12261,12,12,24,3135727,2,1,1,0
2020,,12,12,24,,,,,
2021,,12,12,24,,,,,
