Year,Membership,Wards,Branches,Units,Population
1997,200,0,1,1,16915000
1999,311,0,3,3,17798000
2000,528,0,5,5,18276000
2001,848,0,5,5,18786000
2002,1352,0,7,7,19320000
2003,1976,0,9,9,19873000
2004,2951,0,14,14,20439000
2005,3472,0,17,17,21010000
2006,3733,0,17,17,21587000
2007,4216,0,15,15,22171000
2008,4851,0,18,18,22763000
2009,5079,0,17,17,23361000
2010,5392,0,18,18,23967000
2011,5617,0,18,18,24581000
2012,6029,0,21,21,25203000
2013,6900,0,20,20,25834000
2014,7943,0,26,26,26473000
2015,8584,16,12,28,25303113
2016,9407,16,12,28,25930150
2017,10835,20,9,29,26573706
2018,12274,22,12,34,27233789
2019,15032,25,19,44,28665993
2020,,25,22,47,
2021,,31,19,50,
