Year,Membership,Wards,Branches,Units,Population
1941,100,,1,1,635800
1975,953,,,,1727000
1977,1432,,,,1817000
1979,2293,,,,1908000
1981,5025,,,,1998000
1983,7267,,,,2089000
1985,9100,,,,2180000
1987,12000,15,22,37,2272000
1989,15000,21,16,37,2367000
1991,21000,21,35,56,2466000
1993,23000,22,36,58,2570000
1995,26000,25,38,63,2677000
1997,32000,27,46,73,2787000
1999,35257,35,42,77,2900000
2000,37133,35,75,110,3055000
2001,38359,35,77,112,3116000
2002,39559,35,76,111,3178000
2003,39738,35,62,97,3241000
2004,40356,35,62,97,3303000
2005,40897,36,59,95,3366000
2006,41640,41,52,93,3429000
2007,42606,42,51,93,3491000
2008,43703,42,49,91,3553000
2009,45343,42,47,89,3616000
2010,46425,42,36,78,3678000
2011,47427,39,35,74,3740000
2012,48669,39,33,72,3743760
2013,50062,39,33,72,3805680
2014,51102,39,32,71,3867530
2015,51818,41,30,71,3929140
2016,52702,44,28,72,3705246
2017,55458,45,28,73,3753142
2018,58082,45,28,73,3800644
2019,59526,44,29,73,3847363
2020,,44,29,73,
2021,,44,29,73,
