Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1980,280,,,,3215000,,,,
1983,775,0,5,5,3489000,0,1,0,0
1985,1200,,,,3678000,,,,
1987,1700,0,12,12,3865000,0,1,0,0
1989,2100,0,13,13,4057000,0,1,0,0
1991,3000,0,16,16,4262000,0,1,0,0
1993,3300,0,16,16,4480000,0,2,1,0
1995,4700,6,11,17,4716000,1,1,1,0
1997,5600,6,12,18,4970000,1,1,1,0
1999,8954,7,20,27,5241000,1,2,1,0
2000,9808,5,26,31,5379000,1,3,1,0
2001,10656,5,27,32,5519000,1,3,1,0
2002,11775,5,45,50,5660000,1,8,1,0
2003,12668,5,48,53,5803000,1,8,1,0
2004,13895,5,50,55,5948000,1,8,1,0
2005,14850,5,50,55,6095000,1,8,1,0
2006,15517,5,48,53,6245000,1,8,1,0
2007,16060,5,48,53,6396000,1,7,1,0
2008,16664,5,48,53,6549000,1,7,1,0
2009,17315,5,48,53,6703000,1,7,1,0
2010,18336,5,58,63,6585000,1,9,1,0
2011,20194,11,63,74,7014000,2,10,1,0
2012,21265,11,66,77,7170000,2,12,1,0
2013,21983,10,63,73,7321000,2,11,2,0
2014,22982,10,61,71,7476000,2,11,2,0
2015,24780,10,65,75,6672429,2,11,2,0
2016,25856,10,66,76,6791317,2,11,2,0
2017,27163,10,70,80,6909701,2,12,2,0
2018,28249,10,70,80,7027332,2,12,2,0
2019,30825,10,71,81,7143394,2,12,2,1
2020,,10,71,81,,2,12,2,0
2021,,10,76,86,,2,12,2,0
