Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1890,124,,,,37000,,,,
1898,1100,,,,34000,,,,
1930,4543,,,,55000,,,,
1940,5159,,,,61000,,,,
1950,7319,,,,79000,,,,
1960,10345,,,,112000,,,,
1965,19559,,,,127000,,,,
1967,21767,,,,134000,,,,
1970,24249,,,,143000,,,,
1971,23907,,,,145000,,,,
1975,19932,,,,150000,,,,
1977,21890,,,,153000,,,,
1979,26140,,,,154000,,,,
1981,26147,,,,155000,,,,
1983,25860,,,,156000,,,1,1
1987,34000,67,25,92,158000,9,0,1,1
1989,40000,68,25,93,160000,9,0,1,1
1991,49000,69,29,98,163000,9,0,1,1
1993,51000,69,30,99,165000,10,0,1,1
1995,54000,86,27,113,168000,15,1,1,1
1997,56000,104,22,126,172000,16,1,1,1
1999,58477,108,22,130,175000,16,1,1,1
2000,59143,108,22,130,177000,16,1,1,1
2001,60068,110,21,131,178000,16,1,1,1
2002,61094,110,22,132,178000,16,1,1,1
2003,62413,110,21,131,179000,16,0,1,1
2004,63640,112,21,133,179000,16,0,1,1
2005,63640,112,21,133,180000,16,0,1,1
2006,65644,115,19,134,181000,16,0,1,1
2007,66249,116,18,134,182000,16,0,1,1
2008,67120,116,18,134,183000,16,0,1,1
2009,69244,116,18,134,185000,16,0,1,1
2010,71272,118,16,134,186000,16,0,1,1
2011,72320,118,16,134,187000,16,0,1,1
2012,73827,119,16,135,189000,18,0,1,1
2013,75119,121,16,137,190000,19,0,1,1
2014,75971,126,14,140,192000,20,0,1,1
2015,77353,129,16,145,197773,20,0,1,1
2016,78746,138,15,153,198926,20,0,1,1
2017,80437,143,14,157,200108,20,0,1,1
2018,82092,147,11,158,201316,20,0,1,1
2019,83740,151,11,162,202545,20,0,1,1
2020,,153,9,162,,,,,
2021,,155,9,164,,,,,
