Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1853,106,,,,4000000,,,,
1857,726,,,,4000000,,,,
1930,1854,,,,,,,,
1940,1614,,,,,,,,
1950,1483,,,,,,,,
1960,2569,,,,7527000,,,,
1965,3993,,,,7741000,,,,
1967,4381,,,,7871000,,,,
1970,4722,,,,8049000,,,,
1971,4967,,,,8090000,,,,
1975,5465,,,,8193000,,,,
1977,5810,,,,8246000,,,,
1979,6888,,,,8295000,,,,
1981,6410,,,,8319000,,,,
1983,6451,,,,8326000,2,4,1,1
1985,6800,,,,8350000,,,,
1987,7100,12,28,40,8413000,2,4,1,1
1989,7700,13,27,40,8506000,2,4,1,1
1991,8000,13,26,39,8617000,2,4,1,1
1993,8300,14,34,48,8739000,2,4,1,1
1995,8400,14,38,52,8827000,3,3,1,1
1997,8400,19,33,52,8854000,4,2,1,1
1999,8587,22,28,50,8852000,4,2,1,1
2000,8595,25,26,51,8860000,4,2,1,1
2001,8616,24,24,48,8877000,4,2,1,1
2002,8678,25,23,48,8902000,4,2,1,1
2003,8777,24,21,45,8935000,4,1,1,1
2004,8819,24,21,45,8978000,4,1,1,1
2005,8862,24,20,44,9029000,4,1,1,1
2006,8797,24,20,44,9091000,4,1,1,1
2007,8830,24,18,42,9161000,4,1,1,1
2008,8966,24,18,42,9237000,4,1,1,1
2009,9091,24,17,41,9311000,4,1,1,1
2010,9206,24,16,40,9382000,4,1,1,1
2011,9344,24,16,40,9449000,4,1,1,1
2012,9404,24,16,40,9511000,4,1,1,1
2013,9463,24,16,40,9624250,4,1,1,1
2014,9538,24,16,40,9703250,4,1,1,1
2015,9541,24,16,40,9779430,4,1,1,1
2016,9630,24,16,40,9880604,4,1,1,1
2017,9701,24,16,40,9960487,4,1,1,1
2018,9716,24,16,40,10040995,4,1,1,1
2019,9649,25,15,40,10121743,4,1,1,1
2020,,25,15,40,,4,1,1,1
2021,9528,25,15,40,,4,1,1,1
