Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1975,779,,9,9,42333000,0,4,1,0
1977,969,,,,44408000,,,,
1979,1398,,,,46398000,,,,
1981,1006,,,,48320000,,,,
1983,1781,,,,50165000,,,,
1985,2600,,,,52032000,,,,
1987,2800,0,17,17,53993000,0,3,1,0
1989,3600,0,16,16,55833000,0,3,1,0
1991,4800,0,19,19,57184000,0,4,1,0
1993,5300,0,23,23,58070000,0,4,1,0
1995,6300,5,21,26,58984000,1,4,1,0
1997,7900,5,22,27,60207000,1,4,1,0
1999,10808,5,24,29,61623000,1,5,1,0
2000,11403,5,23,28,62343000,1,5,1,0
2001,12338,6,23,29,63069000,1,5,1,0
2002,13032,6,24,30,63798000,1,5,1,0
2003,13394,6,29,35,64488000,1,5,1,0
2004,13887,6,30,36,65087000,1,5,1,0
2005,14652,6,31,37,65559000,1,5,1,0
2006,15108,6,33,39,65884000,1,5,1,0
2007,15457,7,32,39,66077000,1,5,1,0
2008,15874,7,32,39,66185000,1,5,1,0
2009,16195,7,31,38,66277000,1,5,1,0
2010,16331,7,30,37,66402000,1,5,1,0
2011,16871,6,31,37,66576000,1,5,1,0
2012,17424,6,32,38,66785000,1,5,1,0
2013,18071,7,31,38,67011000,1,5,1,0
2014,19665,12,26,38,67223000,2,4,1,0
2015,20730,19,20,39,67976405,3,3,1,1
2016,21274,20,20,40,68200824,4,2,1,1
2017,22100,22,19,41,68414135,4,2,1,1
2018,22691,22,21,43,68615858,4,2,1,1
2019,23043,20,21,41,68796629,4,2,1,1
2020,,21,20,41,,4,2,1,0
2021,23116,21,20,41,,4,2,1,0
