Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1926,1000,,,,27500,,,,
1930,1185,,,,29000,,,,
1940,1777,,,,35000,,,,
1950,2820,,,,48000,,,,
1960,5160,,,,64000,,,,
1965,8560,,,,74000,,,,
1967,10835,,50,50,79000,0,10,1,0
1970,14355,,,,84000,,,,
1971,15842,,,,86000,,,,
1975,14672,,,,88000,,,,
1977,15233,,,,90000,,,,
1979,18563,,,,92000,,,,
1981,17200,,,,93000,,,,
1983,19733,,,,94000,,,,
1985,27400,,,,94000,,,,
1987,29000,63,53,116,94000,10,0,1,1
1989,31000,63,54,117,95000,10,0,1,1
1991,36000,66,54,120,95000,10,0,1,1
1993,38000,66,55,121,96000,10,2,1,1
1995,40000,86,52,138,96000,13,1,1,1
1997,43000,97,47,144,97000,16,1,1,1
1999,44819,100,47,147,97000,16,1,1,1
2000,46623,103,46,149,98000,16,2,1,1
2001,48767,109,46,155,98000,16,2,1,1
2002,49719,112,44,156,99000,16,2,1,1
2003,50735,113,43,156,100000,16,2,1,1
2004,51568,115,42,157,100000,16,2,1,1
2005,52421,121,40,161,101000,16,2,1,1
2006,53449,123,40,163,102000,16,2,1,1
2007,54281,125,39,164,102000,16,2,1,1
2008,54672,126,39,165,103000,17,2,1,1
2009,55173,127,38,165,104000,17,2,1,1
2010,58805,129,36,165,104000,17,2,1,1
2011,59490,129,36,165,105000,17,2,1,1
2012,60680,130,36,166,105000,18,2,1,1
2013,61470,133,33,166,105000,19,2,1,1
2014,63065,133,33,166,106000,19,2,1,1
2015,63392,133,33,166,106501,19,2,1,1
2016,64156,135,33,168,106513,19,2,1,1
2017,64824,136,32,168,106479,21,2,1,1
2018,65532,138,32,170,106398,21,2,1,1
2019,66361,139,34,173,106247,21,2,1,2
2020,,139,35,174,,21,2,1,1
2021,66361,140,35,175,,21,2,2,1
