Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1985,210,0,1,1,130000,,,,
1987,99,0,1,1,136000,0,0,0,0
1989,200,0,1,1,143000,0,0,0,0
1991,200,0,1,1,151000,0,0,0,0
1993,400,0,1,1,160000,0,0,0,0
1995,500,0,2,2,168000,0,0,0,0
1997,800,0,5,5,175000,0,1,0,0
1999,1121,0,8,8,181000,0,1,0,0
2000,1352,0,9,9,185000,0,2,0,0
2001,1631,0,11,11,190000,0,2,0,0
2002,2042,0,12,12,195000,0,2,0,0
2003,2469,0,13,13,200000,0,2,0,0
2004,2822,0,19,19,206000,0,2,0,0
2005,3057,0,20,20,211000,0,2,0,0
2006,3330,0,20,20,217000,0,2,0,0
2007,3521,0,21,21,222000,0,2,0,0
2008,3783,0,24,24,228000,0,2,0,0
2009,4006,0,24,24,234000,0,2,0,0
2010,4354,0,26,26,236000,0,2,0,0
2011,4864,0,27,27,242000,0,3,0,0
2012,5491,0,30,30,247000,0,3,1,0
2013,6103,0,31,31,253000,0,3,1,0
2014,6693,0,31,31,258000,0,4,1,0
2015,7237,5,27,32,272264,1,3,1,0
2016,7906,5,28,33,277554,1,3,1,0
2017,8786,5,27,32,282814,1,3,1,0
2018,9615,5,30,35,288037,1,3,1,0
2019,10210,5,32,37,293185,1,3,1,0
2020,,5,32,37,,1,3,1,0
2021,,5,33,38,,1,3,1,0
