Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1971,1259,,,,11046000,,,,
1975,3119,,,,12681000,,,,
1977,4727,,,,13608000,,,,
1979,8185,,,,14568000,,,,
1981,11428,,,,15491000,,,,
1983,16673,,,,16370000,,,,
1985,24000,,,,17269000,,,,
1987,35000,35,67,102,18223000,5,12,2,0
1989,48000,42,63,105,19201000,7,8,2,0
1991,57000,59,75,134,20163000,9,9,3,0
1993,66000,67,120,187,21104000,12,11,3,0
1995,73000,77,100,177,22035000,15,10,4,1
1997,80000,117,94,211,22962000,16,11,4,1
1999,89484,114,105,219,23886000,16,13,4,1
2000,96710,114,107,221,24348000,16,13,4,1
2001,105804,116,116,232,24811000,17,14,4,1
2002,113652,129,103,232,25273000,19,12,4,1
2003,122022,144,94,238,25736000,21,11,4,1
2004,128874,165,89,254,26200000,22,10,4,1
2005,134597,173,89,262,26726000,24,11,4,1
2006,138676,176,94,270,27191000,25,11,4,1
2007,141563,181,90,271,27656000,26,10,4,1
2008,144089,182,90,272,28120000,26,9,4,1
2009,146987,187,86,273,28583000,26,8,4,1
2010,150017,192,82,274,29043000,29,8,4,1
2011,153701,205,78,283,29501000,33,7,4,1
2012,157795,208,73,281,29955000,34,6,4,1
2013,161309,203,66,269,30405000,34,6,4,1
2014,164048,203,65,268,30851000,34,7,4,1
2015,165527,199,57,256,31108080,34,6,4,1
2016,167359,194,53,247,30912302,34,6,4,1
2017,168123,195,51,246,31304016,34,6,4,1
2018,166688,181,50,231,31689176,34,5,4,1
2019,168539,178,50,228,30166890,34,5,4,1
2020,,179,50,229,,34,5,4,1
2021,173125,180,53,233,,34,5,4,1
